|idx|isnull|is_ready|full_ans|ans4|ans5|ans6|ans7|ans8|ans9|ans10|ans11|ans12|ans14|name
0|0000000001.jpg|0|1|An orange monochromatic picture depicting a group of chariots mounted by wrathful mummies  drawn by mummified horses|||||||||||
1|0000000002.jpg|0|1|A half dozen half-naked brown orcs on a snow-covered battlefield, some of them mounted on the mammoth-like animals, with angry monkey’s faces and long sharp tusks. In the centre is a big orc on such an animal with an eagle soaring behind. On the left are two orcs on similar animals, the one behind the front one is carrying  a totem|||||||||||
2|0000000003.jpg|0|1|Two humans in front of a gray monochrome picture. The left-hand one is an old man in a wizard hat decorated with a watch fixed to it. He has a long firearm sheath and a long sword one across his chest and a great hook in place of his left hand. On the right of him is a small masked boy, his right hand holding a vertical flagstaff with a waving flag on top of it|||||||||||
3|0000000004.jpg|0|1|A gray chitin-plated worm-like monster with 4 smaller front  and 2 greater hind limbs, a huge protruding brain, overhanging a tiny face with short tentacles over a small mouth, a pair of slender bat-like wings,  a powerful dragon-size tail, positioned in front of the picture with thick tree trunks behind|||||||||||
4|0000000005.jpg|0|1|2 iron-helmeted heads of dwarf warriors against a white background|||||||||||
5|0000000006.jpg|0|1|A giant overmuscled half-naked man in an executioner's hood, with an ugly scar running down the right side of his chest, walking left to right across the picture. In his left hand he is holding a huge axe, in his right hand the left horn of a two-horned scull|||||||||||
6|0000000007.jpg|0|1|A nude gray-skin woman with orange and yellow tattoos, her hair and hands on fire, with her back toward the viewer and looking over her left shoulder, against a dark-blue background. On the left of her in the background is a small hovering island with a tree on fire and plenty of bones on the ground|||||||||||
7|0000000008.jpg|0|1|A man in a brown skin armor with dark gray steel plates, high pointed sharp dark gray plates on his left hand and shoulder, a smaller one on his right hand, wearing a triangle-shaped hood, standing against a light gray background|||||||||||
8|0000000009.jpg|0|1|A man in a fur loincloth, skeletal bone-styled armor on his arms and chest and a skull-face plate on his face, with an axe in his right hand, a smaller axe and a sickle on either side behind his belt. Two ravens, two spears stuck in the ground, mountains and spruces in a gray mist fill the background|||||||||||
9|0000000010.jpg|0|1|A dark image with horde of angry zombies with blind white eyes. They fill hilly terrain with dark-yellow sky on background|||||||||||
10|0000000011.jpg|0|1|2 angry dwarfs in full plate armor on gray platform on black background. They are holding spears and wooden shields in their hands|||||||||||
11|0000000012.jpg|0|1|An anthropomorphic dark-brown squatting monster with hooves, deer horns, dark lion mane and elongated bloody head-bone without skin, staying on black background|||||||||||
12|0000000013.jpg|0|1|A frog-like blue monster with 6 limps, big dragon-like wings and big orange eyes|||||||||||
