|C|A|B
0|0000000001.jpg|An orange monochromatic picture depicting a group of chariots mounted by wrathful mummies  drawn by mummified horses|
1|0000000002.jpg|A half dozen half-naked brown orcs on a snow-covered battlefield, some of them mounted on the mammoth-like animals, with angry monkey’s faces and long sharp tusks. In the centre is a big orc on such an animal with an eagle soaring behind. On the left are two orcs on similar animals, the one behind the front one is carrying  a totem|
2|0000000003.jpg|Two humans in front of a gray monochrome picture. The left-hand one is an old man in a wizard hat decorated with a watch fixed to it. He has a long firearm sheath and a long sword one across his chest and a great hook in place of his left hand. On the right of him is a small masked boy, his right hand holding a vertical flagstaff with a waving flag on top of it|
3|0000000004.jpg|A gray chitin-plated worm-like monster with 4 smaller front  and 2 greater hind limbs, a huge protruding brain, overhanging a tiny face with short tentacles over a small mouth, a pair of slender bat-like wings,  a powerful dragon-size tail, positioned in front of the picture with thick tree trunks behind|
4|0000000005.jpg|2 iron-helmeted heads of dwarf warriors against a white background|
5|0000000006.jpg|A giant overmuscled half-naked man in an executioner's hood, with an ugly scar running down the right side of his chest, walking left to right across the picture. In his left hand he is holding a huge axe, in his right hand the left horn of a two-horned scull|
6|0000000007.jpg|A nude gray-skin woman with orange and yellow tattoos, her hair and hands on fire, with her back toward the viewer and looking over her left shoulder, against a dark-blue background. On the left of her in the background is a small hovering island with a tree on fire and plenty of bones on the ground|
7|0000000008.jpg|A man in a brown skin armor with dark gray steel plates, high pointed sharp dark gray plates on his left hand and shoulder, a smaller one on his right hand, wearing a triangle-shaped hood, standing against a light gray background|
8|0000000009.jpg|A man in a fur loincloth, skeletal bone-styled armor on his arms and chest and a skull-face plate on his face, with an axe in his right hand, a smaller axe and a sickle on either side behind his belt. Two ravens, two spears stuck in the ground, mountains and spruces in a gray mist fill the background|
9|0000000010.jpg|A dark image with horde of angry zombies with blind white eyes. They fill hilly terrain with dark-yellow sky on background|
10|0000000011.jpg|2 angry dwarfs in full plate armor on gray platform on black background. They are holding spears and wooden shields in their hands|
11|0000000012.jpg|An anthropomorphic dark-brown squatting monster with hooves, deer horns, dark lion mane and elongated bloody head-bone without skin, staying on black background|
12|0000000013.jpg|A frog-like blue monster with 6 limps, big dragon-like wings and big orange eyes|
13|0000000014.jpg|A giant red demon in a butcher's apron. He is very fat, he has many full body wired wounds, large fangs, huge horns, he is holding a dark hook in left hand and big axe from straight blade attached to skull and spine of monster. He is staying on blood red background|
14|0000000015.jpg|A big silver-gray dead lord of dead with 6 spine-tentacles on his back staying on back of picture, he is in helm with trident on the forehead. He points forward to army of dead by staff with a tip in the form of flat skull, which glows with a death blue light. On background there is a black pyramid and many rain clouds|
15|0000000016.jpg|An anthropomorphic white monster with rat head on gradient background, changing from light-gray on the top to dark-gray on the bottom. He is in a cloth clothing in light-gray, dark-gray and pale orange elements. On his belt there is a sword|
16|0000000017.jpg|An anthropomorphic humped gray monster with rat head and tail, in copper coloured skin clothes with hood-mask and iron plate shoulder pads on white background. He is holding the pistol in left hand and gray ball bomb in right hand. He has many alchemical flasks on the belt|
17|0000000018.jpg|A dwarf kind with big hammer in right hand, big beard braids with skulls at ends. He is holding hat like a black totem with many skulls. He is staying on the yellow and red background|
18|0000000019.jpg|A dwarf kind with big axe with flat skull in right hand, red round shield with flat skull hand. He has big beard braids. He is holding hat like a red totem with skull. He is staying on yellow cracked ground on the white background |
19|0000000020.jpg|A view from above on a pale violet old bald man with big white beard looking up. He is in mail armor with plates whit spikes on his shoulders. He is holding the big hammer in his hands. He is staying on white background|
20|0000000021.jpg|A woman priest in red and gray robe with schematic eye on her belt. She is turned left of picture. She is holding a big piece of old paper in her left hand and big thin staff with schematic eye at the top. She is staying on white background|
21|0000000022.jpg|A black-white monochromatic picture with 4 zombies in front, angry vampier lord on dead horse on back of picture. Vampier is holding the scythe in his right hand|
22|0000000023.jpg|A black-white monochromatic picture with a man in robe with plate armor on the upper body, skull-like knee pad, tall hat. He has a sword on left of his belt. He is holding rifle in right hand. He is turned left of the picture|
